CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
3;LC;61929;C;6;0;;5.00865;0.50119;0.13688;VERDE;1397;0.0;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Disponível em: http://thumbpress.com. Acesso em: 28 out. 2013. A relação entre as citações atribuídas ao físico Albert Einstein e ao cantor e compositor Bob Marley reside na crença de que é necessário;dar oportunidade a pessoas que parecem necessitadas.;identificar contextos que podem representar perigo.;tirar proveito de situações que podem ser adversas.;evitar dificuldades que parecem ser intransponíveis.;contestar circunstâncias que parecem ser harmônicas.;1
3;LC;87876;A;7;0;;3.85743;0.08809;0.5;AZUL;1395;0.0;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Disponível em: www.hongkiat.com. Acesso em: 18 ago. 2017 (adaptado). O texto estabelece uma relação entre elementos da natureza e comandos de um programa de computador para;alertar as pessoas sobre a rápida destruição da natureza.;conscientizar os indivíduos sobre a passagem acelerada do tempo.;apresentar aos leitores os avanços tecnológicos na área da agricultura.;orientar os usuários sobre o emprego sustentável das novas tecnologias.;informar os interessados sobre o tempo de crescimento de novas árvores.;1
3;LC;87876;A;7;0;;3.85743;0.08809;0.5;BRANCA;1398;0.0;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Disponível em: www.hongkiat.com. Acesso em: 18 ago. 2017 (adaptado). O texto estabelece uma relação entre elementos da natureza e comandos de um programa de computador para;alertar as pessoas sobre a rápida destruição da natureza.;conscientizar os indivíduos sobre a passagem acelerada do tempo.;apresentar aos leitores os avanços tecnológicos na área da agricultura.;orientar os usuários sobre o emprego sustentável das novas tecnologias.;informar os interessados sobre o tempo de crescimento de novas árvores.;1
3;LC;111888;D;5;0;;0.88567;0.32823;0.01968;AMARELA;1396;1.0;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;Morir muy vivos No todo es perder, es cierto. Si te esfuerzas mucho y bien, porque no viene de fábrica, ganas conocimiento del mundo y de ti mismo, empatía, sosiego y, en suma, algo que podríamos denominar sabiduría. Pero creo que para ello hay que mantenerse alerta y no darse nunca por vencido. Pero también es un tiempo para saldar cuentas. No creo que haya que dejarse llevar por el peso de los días como un leño podrido al que las olas arrojan finalmente a la playa. Uno siempre puede intentar sacarse alguna de las piedras que lleva a la espalda, decir las cosas que nunca se atrevió a decir, cumplir en la medida de lo posible los deseos arrumbados, rescatar algún sueño que quedó en la cuneta. No rendirse, esa es la clave. Y sobre todo decirse: ¿y por qué no? Porque la vejez no está reñida con la audacia. Debemos aspirar a morir muy vivos. MONTERO, R. Disponível em: https://elpais.com. Acesso em: 4 dez. 2017. Nesse texto, ao utilizar a expressão “morir muy vivos”, a escritora Rosa Montero evidencia a importância de se;acumular sabedoria com o passar do tempo.;observar o impacto dos anos sobre o corpo.;rever os erros e os acertos de sua trajetória.;desfrutar de todas as fases da vida.;libertar das amarras sociais.;0
3;LC;140710;C;7;0;;1.2195;1.21829;0.22976;BRANCA;1398;1.0;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;El vírus de la cancelación ¿De qué se trata este fenómeno? Se entiende por cultura de la cancelación a una práctica popular que consiste en “quitarle apoyo” especialmente a figuras públicas y compañías multinacionales después de que hayan hecho o dicho algo considerado objetable u ofensivo. Cuando alguien o algo está cancelado se descarta, se deja de ver, se deja de escuchar, se desclasifica, se aísla, se abandona, se niega, se deja de consumir hasta que eventualmente puede o no desaparecer. Es una estrategia muy extendida en la historia de las luchas anticoloniales, antiespecistas, sexodisidentes, feministas y, especialmente en nuestro país, también llevadas adelante por el movimiento de derechos humanos. Entonces, ¿dónde radica el problema? Se puede observar positivamente que hay un proceso cada vez más agudo de socialización de herramientas críticas para desmantelar formas de desigualdad incrustadas en los lazos sociales. Pero la popularización irrestricta y el uso amplificado de esta herramienta por fuera de sus contextos colectivos de emergencia han despertado efectos adversos en una sociedad atravesada por las pantallas como formas de encierro-consumo, la representación online como única esfera pública y un imperativo felicista cuya moral nos obliga a trabajar ansiosamente por una vida sin desacuerdos, sin errores y sin dolor, a como dé lugar. Disponível em: www.revistaanfibia.com. Acesso em: 7 out. 2021 (adaptado). Na argumentação apresentada sobre cultura do cancelamento, esse texto objetiva;apresentar o conceito desse tipo de prática.;mostrar a contrariedade das mídias com relação a essa atitude.;criticar o impacto dessa cultura sobre a vida representada nas redes.;evidenciar a democratização dessa prática na sociedade virtual.;discorrer historicamente sobre a origem e as causas dessa cultura.;0
3;LC;140710;C;7;0;;1.2195;1.21829;0.22976;VERDE;1397;1.0;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;El vírus de la cancelación ¿De qué se trata este fenómeno? Se entiende por cultura de la cancelación a una práctica popular que consiste en “quitarle apoyo” especialmente a figuras públicas y compañías multinacionales después de que hayan hecho o dicho algo considerado objetable u ofensivo. Cuando alguien o algo está cancelado se descarta, se deja de ver, se deja de escuchar, se desclasifica, se aísla, se abandona, se niega, se deja de consumir hasta que eventualmente puede o no desaparecer. Es una estrategia muy extendida en la historia de las luchas anticoloniales, antiespecistas, sexodisidentes, feministas y, especialmente en nuestro país, también llevadas adelante por el movimiento de derechos humanos. Entonces, ¿dónde radica el problema? Se puede observar positivamente que hay un proceso cada vez más agudo de socialización de herramientas críticas para desmantelar formas de desigualdad incrustadas en los lazos sociales. Pero la popularización irrestricta y el uso amplificado de esta herramienta por fuera de sus contextos colectivos de emergencia han despertado efectos adversos en una sociedad atravesada por las pantallas como formas de encierro-consumo, la representación online como única esfera pública y un imperativo felicista cuya moral nos obliga a trabajar ansiosamente por una vida sin desacuerdos, sin errores y sin dolor, a como dé lugar. Disponível em: www.revistaanfibia.com. Acesso em: 7 out. 2021 (adaptado). Na argumentação apresentada sobre cultura do cancelamento, esse texto objetiva;apresentar o conceito desse tipo de prática.;mostrar a contrariedade das mídias com relação a essa atitude.;criticar o impacto dessa cultura sobre a vida representada nas redes.;evidenciar a democratização dessa prática na sociedade virtual.;discorrer historicamente sobre a origem e as causas dessa cultura.;0
3;LC;141730;D;8;0;;1.90192;0.6706;0.16827;AZUL;1395;1.0;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Celerina Patricia Sánchez Santiago comentó que su acercamiento a la poesía fue por la escuela, con libros de texto en español. Descubrió el gusto por las letras pero notó que no había textos en la suya, así que, contra muchos comentarios negativos que recibió en ese momento, decidió emprender el camino de la escritura pero en mixteco. “Fue un proceso de años para notar que en mi lengua podía escribir poesía, porque me decían que mi lengua era tan pobre que no podía tener conceptos abstractos, era un reto pero yo sabía que sí era posible”. Este proceso no sólo le ayudó a vivir la poesía en mixteco, sino a “ir descubriendo mi propia historia y la de mi pueblo”. Comentó que las lenguas habladas en el territorio nacional se encuentran en gran desventaja con el español. “El reconocimiento a la diversidad no se ha hecho y ha sido tratada de borrar. Este es un país con 68 lenguas y somos monolingües del español. Antes había nulo de reconocimiento de ser bilingüe, negabas que hablabas tu lengua, hasta le decían dialecto. Era parte del proceso fatal que nos llevó a no reconocernos en un país multilingüe. ¿Si tenemos varias lenguas por qué no aprender?”. Disponível em: www.fapcom.edu.br. Acesso em: 20 nov. 2021. Em sua escrita poética, a poetisa mexicana Celerina Patricia Sánchez Santiago assume o desafio de;destacar a importância da literatura na formação escolar.;discutir a hegemonia da literatura escrita em espanhol.;promover reflexões acerca de conceitos abstratos.;representar a pluralidade linguística de seu país.;narrar uma trajetória de autoconhecimento.;0
4;LC;97312;E;7;0;;3.84493;0.88646;0.10345;AMARELA;1396;0.0;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;Disponível em: www.clickhole.com. Acesso em: 26 out. 2015. A carta da editora Stephanie Allen-Nichols à escritora Alice Walker tem o propósito de;problematizar o enredo de sua obra.;acusar o recebimento de seu manuscrito.;solicitar a revisão ortográfica de seu texto.;informar a transferência de seu livro a outra editora.;comunicar a recusa da publicação de seu romance.;1
4;LC;97312;E;7;0;;3.84493;0.88646;0.10345;VERDE;1397;0.0;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Disponível em: www.clickhole.com. Acesso em: 26 out. 2015. A carta da editora Stephanie Allen-Nichols à escritora Alice Walker tem o propósito de;problematizar o enredo de sua obra.;acusar o recebimento de seu manuscrito.;solicitar a revisão ortográfica de seu texto.;informar a transferência de seu livro a outra editora.;comunicar a recusa da publicação de seu romance.;1
4;LC;111888;D;5;0;;0.88567;0.32823;0.01968;AZUL;1395;1.0;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Morir muy vivos No todo es perder, es cierto. Si te esfuerzas mucho y bien, porque no viene de fábrica, ganas conocimiento del mundo y de ti mismo, empatía, sosiego y, en suma, algo que podríamos denominar sabiduría. Pero creo que para ello hay que mantenerse alerta y no darse nunca por vencido. Pero también es un tiempo para saldar cuentas. No creo que haya que dejarse llevar por el peso de los días como un leño podrido al que las olas arrojan finalmente a la playa. Uno siempre puede intentar sacarse alguna de las piedras que lleva a la espalda, decir las cosas que nunca se atrevió a decir, cumplir en la medida de lo posible los deseos arrumbados, rescatar algún sueño que quedó en la cuneta. No rendirse, esa es la clave. Y sobre todo decirse: ¿y por qué no? Porque la vejez no está reñida con la audacia. Debemos aspirar a morir muy vivos. MONTERO, R. Disponível em: https://elpais.com. Acesso em: 4 dez. 2017. Nesse texto, ao utilizar a expressão “morir muy vivos”, a escritora Rosa Montero evidencia a importância de se;acumular sabedoria com o passar do tempo.;observar o impacto dos anos sobre o corpo.;rever os erros e os acertos de sua trajetória.;desfrutar de todas as fases da vida.;libertar das amarras sociais.;0
4;LC;111888;D;5;0;;0.88567;0.32823;0.01968;BRANCA;1398;1.0;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Morir muy vivos No todo es perder, es cierto. Si te esfuerzas mucho y bien, porque no viene de fábrica, ganas conocimiento del mundo y de ti mismo, empatía, sosiego y, en suma, algo que podríamos denominar sabiduría. Pero creo que para ello hay que mantenerse alerta y no darse nunca por vencido. Pero también es un tiempo para saldar cuentas. No creo que haya que dejarse llevar por el peso de los días como un leño podrido al que las olas arrojan finalmente a la playa. Uno siempre puede intentar sacarse alguna de las piedras que lleva a la espalda, decir las cosas que nunca se atrevió a decir, cumplir en la medida de lo posible los deseos arrumbados, rescatar algún sueño que quedó en la cuneta. No rendirse, esa es la clave. Y sobre todo decirse: ¿y por qué no? Porque la vejez no está reñida con la audacia. Debemos aspirar a morir muy vivos. MONTERO, R. Disponível em: https://elpais.com. Acesso em: 4 dez. 2017. Nesse texto, ao utilizar a expressão “morir muy vivos”, a escritora Rosa Montero evidencia a importância de se;acumular sabedoria com o passar do tempo.;observar o impacto dos anos sobre o corpo.;rever os erros e os acertos de sua trajetória.;desfrutar de todas as fases da vida.;libertar das amarras sociais.;0
4;LC;118157;A;8;0;;2.78496;0.52101;0.15014;AZUL;1395;0.0;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;I remember being caught speaking Spanish at recess [...] I remember being sent to the corner of the classroom for “talking back” to the Anglo teacher when all I was trying to do was tell her how to pronounce my name. “If you want to be American, speak ‘American’. If you don’t like it, go back to Mexico where you belong”. “I want you to speak English […]”, my mother would say, mortified that I spoke English like a Mexican. At Pan American University, I and all Chicano students were required to take two speech classes. Their purpose: to get rid of our accents. ANZALDÚA, G. Borderlands/La Frontera: The New Mestiza. San Francisco: Aunt Lute Books, 1987. O problema abordado nesse texto sobre imigrantes residentes nos Estados Unidos diz respeito aos prejuízos gerados pelo(a);repúdio ao sotaque espanhol no uso do inglês.;resignação diante do apagamento da língua materna.;escassez de oportunidades de aprendizado do espanhol.;choque entre falantes de línguas distintas de diferentes gerações.;concorrência entre as variações linguísticas do inglês e as do espanhol.;0
4;LC;118194;A;5;0;;4.67112;0.81082;0.33341;BRANCA;1398;0.0;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Holy War Oh, so we can hate each other and fear each other We can build these walls between each other Baby, blow by blow and brick by brick Keep yourself locked in, yourself locked in […] Oh, maybe we should love somebody Oh, maybe we could care a little more So maybe we should love somebody Instead of polishing the bombs of holy war KEYS, A. Here. Estados Unidos: RCA Records, 2016. Nessa letra de canção, que aborda um contexto de ódio e intolerância, o marcador “instead of ” introduz a ideia de;mudança de comportamento.;panorama de conflitos.;rotina de isolamento.;perspectiva bélica.;cenário religioso.;0
37;LC;141444;C;18;0;;2.10871;0.63797;0.12831;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Se você é feito de música, este texto é pra você Às vezes, no silêncio da noite, eu fico imaginando: que graça teria a vida sem música? Sem ela não há paz, não há beleza. Nos dias de festa e nas madrugadas de pranto, nas trilhas dos filmes e nas corridas no parque, o que seria de nós sem as canções que enfeitam o cotidiano com ritmo e verso? Quem nunca curou uma dor de cotovelo dançando lambada ou terminou de se afundar ouvindo sertanejo sofrência? Quantos já criticaram funk e fecharam a noite descendo até o chão? Tudo bem... Raul nos ensinou que é preferível ser essa metamorfose ambulante do que ter aquela velha opinião formada sobre tudo. Já somos castigados com o peso das tragédias, o barulho das buzinas, os ruídos dos conflitos. É pau, é pedra, é o fim do caminho. Há uma nuvem de lágrimas sobre os olhos, você está na lanterna dos afogados, o coração despedaçado. Mas, como um sopro, da janela do vizinho, entra o samba que reanima a mente. Floresce do fundo do nosso quintal a batida que ressuscita o ânimo, sintoniza a alegria e equaliza o fôlego. Levanta, sacode a poeira, dá a volta por cima. BITTAR, L. Disponível em: www.revistabula.com. Acesso em: 21 nov. 2021 (adaptado). Defendendo a importância da música para o bem-estar e o equilíbrio emocional das pessoas, a autora usa, como recurso persuasivo, a;contradição, ao associar o coração despedaçado à alegria.;metáfora, ao citar a imagem da metamorfose ambulante.;intertextualidade, ao resgatar versos de letras de canções.;enumeração, ao mencionar diferentes ritmos musicais.;hipérbole, ao falar em “sofrência”, “tragédias” e “afogados”.;0
37;LC;150523;B;28;0;;2.63266;1.23509;0.15044;BRANCA;1398;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Teclado amazônico Em novembro de 2023, uma professora indígena recebeu uma missão: verter as regras de um jogo de tabuleiro infantil do português para o tukano, sua língua nativa. Com vinte anos de experiência como professora de línguas em Taracuá, no Amazonas, ela já se dedicava à tradução havia tempos. O trabalho ficou mais fácil graças a um aplicativo lançado no ano anterior: com o Linklado em seu computador, ela traduziu as sete páginas das instruções do jogo em dois dias. Sem esse recurso, a tarefa seria bem mais trabalhosa. Antes dele, diz a professora, as transcrições de línguas indígenas exigiam o esforço quase manual de produzir diacríticos (acentos gráficos) e letras que não constam no teclado de aplicativos de mensagens ou programas de texto. Para a pesquisadora do Instituto Nacional de Pesquisas da Amazônia (Inpa), idealizadora do aplicativo, o Linklado representa uma revolução. O programa não restringe combinações de acentos, e isso poderá facilitar a criação de representações gráficas para fonemas que ainda não têm forma escrita. “Eu mirei em uma dor e atingimos várias outras”, diz. “O Linklado possibilita que o Brasil reconheça a sua diversidade linguística”, afirma uma antropóloga que é colega da pesquisadora no Inpa e faz parte da equipe do aplicativo. Ela defende que escrever na língua materna é uma das principais formas de preservá-la. Disponível em: https://piaui.folha.uol.com.br. Acesso em: 3 fev. 2024 (adaptado). De acordo com esse texto, o aplicativo Linklado contribuiu para a;criação de fonemas representativos de línguas indígenas no meio digital.;democratização do registro escrito de línguas dos povos originários.;adaptação de regras de jogos de tabuleiro de origem indígena.;divulgação das técnicas de tradução de línguas indígenas.;aprendizagem da lingua portuguesa pelos indígenas.;0
37;LC;150766;D;20;0;;5.24443;0.2992;0.19478;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;A Língua da Tabatinga, falada na cidade de Bom Despacho, Minas Gerais, foi por muito tempo estigmatizada devido à sua origem e à própria classe social de seus falantes, pois, segundo uma pesquisadora, era falada por “meninos pobres vindos da Tabatinga ou de Cruz de Monte — ruas da periferia da cidade cujos habitantes sempre foram tidos por marginais”. Conhecida por antigos como a “língua dos engraxates”, pois muitos trabalhadores desse ofício conversavam nessa língua enquanto lustravam sapatos na praça da matriz, a Língua da Tabatinga era utilizada por negros escravizados como uma espécie de “língua secreta”, um código para trocarem informações de como conseguir alimentos, ou para planejar fugas de seus senhores sem risco de serem descobertos por eles. De acordo com um documento do Iphan (2011), os falantes da língua apresentam uma forte consciência de sua relação com a descendência africana e da importância de preservar a “fala que os identifica na região”. Essa mudança de compreensão tangencia aspectos de pertencimento, pois, à medida que o falante da Língua da Tabatinga se identifica com a origem afro-brasileira, ele passa a ver essa língua como um legado recebido e tem o cuidado de transmiti-la para outras gerações. A concentração de falantes dessa língua está na faixa entre 21 e 60 anos de idade. Disponível em: www.historiaeparcerias2019.rj.anpuh.org. Acesso em: 3 fev. 2024 (adaptado). A Língua da Tabatinga tem sido preservada porque o(a);seu registro passou da forma oral para a escrita.;classe social de seus usuários ganhou prestígio.;sua função inicial se manteve ao longo dos anos.;sentimento de identidade linguística tem se consolidado.;perfil etário de seus falantes tem se tornado homogêneo.;0
38;LC;118297;B;17;0;;2.32301;0.39677;0.16215;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;pessoas com suas malas mochilas e valises chegam e se vão se encontram se despedem e se despem de seus pertences como se pudessem chegar a algum lugar onde elas mesmas não estivessem RUIZ, A. In: SANT’ANNA, A. Rua Aribau: coletânea de poemas. Porto Alegre: TAG, 2018. Esse poema, por meio da ideia de deslocamento, metaforiza a tentativa de pessoas;buscarem novos encontros.;fugirem da própria identidade.;procurarem lugares inexplorados.;partirem em experiências inusitadas.;desaparecerem da vida em sociedade.;0
38;LC;140892;D;15;0;;0.58481;-0.38987;0.01152;BRANCA;1398;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;"— Eu lhe juro, Aurélia. Estes lábios nunca tocaram a face de outra mulher, que não fosse minha mãe. Meu primeiro beijo de amor, guardei-o para minha esposa, para ti... [...] — Ou de outra mais rica! — disse ela, retraindo-se para fugir ao beijo do marido, e afastando-o com a ponta dos dedos. A voz da moça tomara o timbre cristalino, eco da rispidez e aspereza do sentimento que lhe sublevava o seio, e que parecia ringir-lhe nos lábios como aço. — Aurélia! Que significa isto? — Representamos uma comédia, na qual ambos desempenhamos o nosso papel com perícia consumada. Podemos ter este orgulho, que os melhores atores não nos excederiam. Mas é tempo de pôr termo a esta cruel mistificação, com que nos estamos escarnecendo mutuamente, senhor. Entremos na realidade por mais triste que ela seja; e resigne-se cada um ao que é, eu, uma mulher traída; o senhor, um homem vendido. — Vendido! — exclamou Seixas ferido dentro d’alma. — Vendido, sim: não tem outro nome. Sou rica, muito rica; sou milionária; precisava de um marido, traste indispensável às mulheres honestas. O senhor estava no mercado; comprei-o. Custou-me cem contos de réis, foi barato; não se fez valer. Eu daria o dobro, o triplo, toda a minha riqueza por este momento. ALENCAR, J. Senhora. Rio de Janeiro: Tecnoprint, 2003. Ao tematizar o casamento, esse fragmento reproduz uma concepção de literatura romântica evidenciada na";defesa da igualdade de gêneros.;importância atribuída à castidade.;indignação com as injustiças sociais.;interferência da riqueza sobre o amor.;valorização das relações interpessoais.;0
38;LC;150621;D;19;0;;3.14973;-0.03426;0.20588;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Diante do pouco dinheiro para produtos básicos de sobrevivência, são as adolescentes o alvo mais vulnerável à precariedade menstrual. Sofrem com dois fatores: o desconhecimento da importância da higiene menstrual para sua saúde e a dependência dos pais ou familiares para a compra do absorvente, que acaba entrando na lista de artigos supérfluos da casa. A falta do absorvente afeta diretamente o desempenho escolar dessas estudantes e, como consequência, restringe o desenvolvimento de seu potencial na vida adulta. Dados da Pesquisa Nacional de Saúde (PNS), do IBGE, revelaram que, das meninas entre 10 e 19 anos que deixaram de fazer alguma atividade (estudar, realizar afazeres domésticos, trabalhar ou, até mesmo, brincar) por problemas de saúde nos 14 dias anteriores à data da pesquisa, 2,88% deixaram de fazê-la por problemas menstruais. Para efeitos de comparação, o índice de meninas que relataram não ter conseguido realizar alguma de suas atividades por gravidez e parto foi menor: 2,55%. Dados da ONU apontam que, no mundo, uma em cada dez meninas falta às aulas durante o período menstrual. No Brasil, esse número é ainda maior: uma entre quatro estudantes já deixou de ir à escola por não ter absorventes. Com isso, perdem, em média, até 45 dias de aula, por ano letivo, como revela o levantamento Impacto da Pobreza Menstrual no Brasil. O ato biológico de menstruar acaba por virar mais um fator de desigualdade de oportunidades entre os gêneros. Disponível em: www12.senado.leg.br. Acesso em: 21 jan. 2024 (adaptado). Esse texto é marcado pela função referencial da linguagem, uma vez que cumpre o propósito de;sugerir soluções para um problema de ordem social.;estabelecer uma relação entre menstruação e gravidez.;comparar o desempenho acadêmico de mulheres e homens.;informar o leitor sobre o impacto da pobreza menstrual na vida das mulheres.;orientar o público sobre a necessidade de rotinas de autocuidado na adolescência.;0
38;LC;150665;D;25;0;;1.94371;1.34885;0.14161;AMARELA;1396;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;— Vá para o inferno, Gondim. Você acanalhou o troço. Está pernóstico, está safado, está idiota. Há lá ninguém que fale dessa forma! Azevedo Gondim apagou o sorriso, engoliu em seco, apanhou os cacos da sua pequenina vaidade e replicou amuado que um artista não pode escrever como fala. — Não pode? — perguntei com assombro. E por quê? Azevedo Gondim respondeu que não pode porque não pode. — Foi assim que sempre se fez. A literatura é a literatura, seu Paulo. A gente discute, briga, trata de negócios naturalmente, mas arranjar palavras com tinta é outra coisa. Se eu fosse escrever como falo, ninguém me lia. RAMOS, G. São Bernardo. Rio de Janeiro: Record, 2009. Nesse fragmento, a discussão dos personagens traz à cena um debate acerca da escrita que;diferencia a produção artística do registro padrão da língua.;aproxima a literatura de dialetos sociais de pouco prestígio.;defende a relação entre a fala e o estilo literário de um autor.;contrapõe o preciosismo linguístico a situações de coloquialidade.;associa o uso da norma culta à ocorrência de desentendimentos pessoais.;0
39;LC;40924;C;13;0;;2.21296;1.16464;0.2156;AMARELA;1396;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;VISCONTI, E. Três meninas no jardim. Óleo sobre tela, 81 × 65 cm. Museu Nacional de Belas Artes, Rio de Janeiro, 1935. Disponível em: www.eliseuvisconti.com.br. Acesso em: 18 set. 2012. Eliseu D’Angelo Visconti (1866-1944) desenvolveu diversas obras no Brasil, com grande influência das escolas europeias. Em sua pintura Três meninas no jardim, há;culto à fluidez e ao progresso, nos moldes do ideário futurista.;valorização de formas decompostas, a exemplo do estilo cubista.;efeitos fugazes de luz e movimento, que remetem à estética impressionista.;expressão do sonho e do inconsciente, que dialoga com a proposta surrealista.;tematização de elementos cotidianos, que resgata modelos de representação da arte realista.;1
39;LC;119743;D;13;0;;0.49366;2.05523;0.09974;BRANCA;1398;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;TEXTO I TEXTO II Anônimo. Cabeça de uma figura feminina. Circa 2700-2500 a.C. Escultura em mármore, 8 × 3,2 cm. Metropolitan Museum of Art, Nova Iorque. MODIGLIANI, A. Cabeça de mulher. Circa 1910-1911. Escultura em calcário, 68,3 × 15,9 × 24,1 cm. National Gallery of Art, Washington. WOLKOFF, J. These 5,000-Year-Old Sculptures Look Shockingly Similar to Modern Art. Disponível em: www.artsy.net. Acesso em: 19 jun. 2019. A leitura comparativa das duas esculturas, separadas por mais de 2 500 anos, indica a;valorização da arte antiga por artistas contemporâneos.;resistência da arte escultórica aos avanços tecnológicos.;simplificação da forma em razão do tipo de material utilizado.;persistência de padrões estéticos em diferentes épocas e culturas.;ausência de detalhes como traço distintivo da arte tradicional popular.;1
39;LC;140894;C;25;0;;3.03049;1.00964;0.2486;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Maranhenses que moram longe matam a saudade da terra natal usando expressões próprias do estado. Se o maranhês impressiona e desperta a curiosidade de quem mora no próprio Maranhão, imagine de quem vem de outros estados e países? A variedade linguística local é enorme e o modo de falar tão próprio e característico dos maranhenses vem conquistando muita gente e inspirando títulos e muito conteúdo digital com a criação de podcasts, blogs, perfis na internet, além de estampar diversos tipos de produtos e serviços de empresas locais. Com saudades do Maranhão, morando há 16 anos no Rio de Janeiro, um fotógrafo maranhense criou um perfil na internet no qual compartilha a culinária, brincadeiras e o ‘dicionário’ maranhês. “A primeira vez que fui a uma padaria no Rio, na inocência, pedi 3 reais de ‘pães misturados’. Quando falei isso, as pessoas pararam e me olharam de uma forma bem engraçada, aí já fiquei ‘encabulado, ó’ e o atendente sorriu e explicou que lá não existia pão misturado e, sim, pão francês e suíço. Depois foi a minha vez de explicar sobre os pães ‘massa grossa e massa fina’”, contou o fotógrafo, com humor. Disponível em: https://oimparcial.com.br. Acesso em: 1 nov. 2021 (adaptado). A vivência relatada no texto evidencia que as variedades linguísticas;impedem o entendimento mútuo.;enaltecem o português do Maranhão.;são constitutivas do português brasileiro.;exigem a dicionarização dos termos usados.;são restritas a situações coloquiais de comunicação.;0
39;LC;150666;E;27;0;;3.54677;0.31786;0.12491;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Falar errado é uma arte, Arnesto! No dia 6 de agosto de 1910, Emma Riccini Rubinato pariu um garoto sapeca em Valinhos e deu a ele o nome de João Rubinato. Na escola, João não passou do terceiro ano. Não era a área dele, tinha de escolher outra. Fez o que apareceu. Foi ser garçom, metalúrgico, até virar radialista, comediante, ator de cinema e TV, cantor e compositor. De samba. Como tinha sobrenome italiano, João resolveu mudar para emplacar seu samba. E como ia mudar o sobrenome, mudou o nome. Virou Adoniran Barbosa. O cara falava errado, voz rouca, pinta de malandro da roça. Virou ícone da música brasileira, o mais paulista de todos, falando errado e irritando Vinicius de Moraes, que ficou de bico fechado depois de ouvir a música que Adoniran fez para a letra Bom dia, tristeza, de autoria do Poetinha. Coisa de arrepiar. Para toda essa gente que implicava, Adoniran tinha uma resposta neoerudita: “Gosto de samba e não foi fácil, pra mim, ser aceito como compositor, porque ninguém queria nada com as minhas letras que falavam ‘nóis vai’, ‘nóis fumo’, ‘nóis fizemo’, ‘nóis peguemo’. Acontece que é preciso saber falar errado. Falar errado é uma arte, senão vira deboche”. Ele sabia o que fazia. Por isso dizia que falar errado era uma arte. A sua arte. Escolhida a dedo porque casava com seu tipo. O Samba do Arnesto é um monumento à fala errada, assim como Tiro ao Álvaro. O erudito podia resmungar, mas o povo se identificava. PEREIRA, E. Disponível em: www.tribunapr.com.br. Acesso em: 8 jul. 2024 (adaptado). O “falar errado” a que o texto se refere constitui um preconceito em relação ao uso que Adoniran Barbosa fazia da língua em suas composições, pois esse uso;marcava a linguagem dos comediantes no mesmo período.;prejudicava a compreensão das canções pelo público.;denunciava a ausência de estilo nas letras de canção.;restringia a criação poética nas letras do compositor.;transgredia a norma-padrão vigente à época.;0
